min_ratings,n_factors,n_epochs,trainset,average_error
1,20,7,"('rows', 4)",1.2079507881735543
1,20,7,"('rows', 6)",1.3862526483595463
1,20,7,"('cols', 2)",1.2283083335294118
1,20,7,"('cols', 4)",1.3288200871014333
1,20,7,"('cols', 6)",1.3279130855681434
1,20,8,"('random', 0.9)",1.3969099570547165
1,20,8,"('random', 0.8)",1.4144469085956064
1,20,8,"('random', 0.7)",1.411723598940476
1,20,8,"('random', 0.6)",1.4063517280208153
1,20,8,"('rows', 2)",1.3021390319614579
1,20,8,"('rows', 4)",1.2075181706142548
1,20,8,"('rows', 6)",1.386889115846215
1,20,8,"('cols', 2)",1.2295983719654322
1,20,8,"('cols', 4)",1.3305923056234203
1,20,8,"('cols', 6)",1.3293285524059197
1,20,9,"('random', 0.9)",1.4173010251504925
1,20,9,"('random', 0.8)",1.4231214051071521
1,20,9,"('random', 0.7)",1.42172443862362
1,20,9,"('random', 0.6)",1.4185246346410672
1,20,9,"('rows', 2)",1.3018791675972823
1,20,9,"('rows', 4)",1.2072472355693364
1,20,9,"('rows', 6)",1.3875667624480477
1,20,9,"('cols', 2)",1.2303986517677374
1,20,9,"('cols', 4)",1.331874715684017
1,20,9,"('cols', 6)",1.3304355605440465
1,20,10,"('random', 0.9)",1.4419088768871333
1,20,10,"('random', 0.8)",1.435730231277601
1,20,10,"('random', 0.7)",1.4337880991785212
1,20,10,"('random', 0.6)",1.4318332623654504
1,20,10,"('rows', 2)",1.3015849153838637
1,20,10,"('rows', 4)",1.2070523269235178
1,20,10,"('rows', 6)",1.388212263017576
1,20,10,"('cols', 2)",1.230784779809759
1,20,10,"('cols', 4)",1.3327075791569698
1,20,10,"('cols', 6)",1.3312116917103207
1,40,3,"('random', 0.9)",1.3490378622759422
1,40,3,"('random', 0.8)",1.3996677201117569
1,40,3,"('random', 0.7)",1.3756701804647253
1,40,3,"('random', 0.6)",1.3550072695435322
1,40,3,"('rows', 2)",1.3119892084221663
1,40,3,"('rows', 4)",1.2180803274470564
1,40,3,"('rows', 6)",1.389435540176654
1,40,3,"('cols', 2)",1.222442019559537
1,40,3,"('cols', 4)",1.3195873191608867
1,40,3,"('cols', 6)",1.3222144461262488
1,40,4,"('random', 0.9)",1.3609464064329522
1,40,4,"('random', 0.8)",1.401949974722916
1,40,4,"('random', 0.7)",1.3794227908023462
1,40,4,"('random', 0.6)",1.3581831853966904
1,40,4,"('rows', 2)",1.310847816479461
1,40,4,"('rows', 4)",1.2136112639701515
1,40,4,"('rows', 6)",1.3868543990512627
1,40,4,"('cols', 2)",1.2240325449514353
1,40,4,"('cols', 4)",1.322959357750335
1,40,4,"('cols', 6)",1.3226048661795093
1,40,5,"('random', 0.9)",1.3768173322174573
1,40,5,"('random', 0.8)",1.4104616180855236
1,40,5,"('random', 0.7)",1.3868050085421004
1,40,5,"('random', 0.6)",1.3642211976385354
1,40,5,"('rows', 2)",1.3109538579325435
1,40,5,"('rows', 4)",1.2111642690543751
1,40,5,"('rows', 6)",1.3858049856891144
1,40,5,"('cols', 2)",1.2258791688209383
1,40,5,"('cols', 4)",1.3264843164376339
1,40,5,"('cols', 6)",1.3235718174621707
1,40,6,"('random', 0.9)",1.3955671774961107
1,40,6,"('random', 0.8)",1.4246772635357479
1,40,6,"('random', 0.7)",1.3972610646199215
1,40,6,"('random', 0.6)",1.3725454670073425
1,40,6,"('rows', 2)",1.3114946874655962
1,40,6,"('rows', 4)",1.2098299968212387
1,40,6,"('rows', 6)",1.3856162442081146
1,40,6,"('cols', 2)",1.2275429560240185
1,40,6,"('cols', 4)",1.3297553988842046
1,40,6,"('cols', 6)",1.324658521438711
1,40,7,"('random', 0.9)",1.4169162415228749
1,40,7,"('random', 0.8)",1.4415895515312986
1,40,7,"('random', 0.7)",1.4105620379327133
1,40,7,"('random', 0.6)",1.3830322750593373
1,40,7,"('rows', 2)",1.3120955491821613
1,40,7,"('rows', 4)",1.2090896043781727
1,40,7,"('rows', 6)",1.3858829395908396
1,40,7,"('cols', 2)",1.228843030054941
1,40,7,"('cols', 4)",1.3325730114795074
1,40,7,"('cols', 6)",1.3256185868853079
1,40,8,"('random', 0.9)",1.4402733258537348
1,40,8,"('random', 0.8)",1.4595997241155356
1,40,8,"('random', 0.7)",1.4263394691416937
1,40,8,"('random', 0.6)",1.3956802698529671
1,40,8,"('rows', 2)",1.3126232407450245
1,40,8,"('rows', 4)",1.208662782563789
1,40,8,"('rows', 6)",1.3863710262319595
1,40,8,"('cols', 2)",1.2297504404931539
1,40,8,"('cols', 4)",1.33485896351408
1,40,8,"('cols', 6)",1.3263477827140886
1,40,9,"('random', 0.9)",1.4643040965454723
1,40,9,"('random', 0.8)",1.480246467313971
1,40,9,"('random', 0.7)",1.442728579191881
1,40,9,"('random', 0.6)",1.4088146615414765
1,40,9,"('rows', 2)",1.3130666316807995
1,40,9,"('rows', 4)",1.2084100314958033
1,40,9,"('rows', 6)",1.3869508550540963
1,40,9,"('cols', 2)",1.2303210017582955
1,40,9,"('cols', 4)",1.3366066797072074
1,40,9,"('cols', 6)",1.326830611097754
1,40,10,"('random', 0.9)",1.4873185309423895
1,40,10,"('random', 0.8)",1.499725807053867
1,40,10,"('random', 0.7)",1.45910481111659
1,40,10,"('random', 0.6)",1.4216075038996603
1,40,10,"('rows', 2)",1.3134652702916936
1,40,10,"('rows', 4)",1.2082707374714843
1,40,10,"('rows', 6)",1.3875540045618082
1,40,10,"('cols', 2)",1.2306476517809097
1,40,10,"('cols', 4)",1.3378527374814324
1,40,10,"('cols', 6)",1.3270989957349009
2,2,3,"('random', 0.9)",1.3309983044849591
2,2,3,"('random', 0.8)",1.4056744300768198
2,2,3,"('random', 0.7)",1.3783634033136558
2,2,3,"('random', 0.6)",1.3580067320336389
2,2,3,"('rows', 2)",1.3063241715944673
2,2,3,"('rows', 4)",1.2153425210418651
2,2,3,"('rows', 6)",1.387988705037151
2,2,3,"('cols', 2)",1.2196845582411333
2,2,3,"('cols', 4)",1.3190943672585014
2,2,3,"('cols', 6)",1.3219272298191838
2,2,4,"('random', 0.9)",1.3292349500234357
2,2,4,"('random', 0.8)",1.4018186693160894
2,2,4,"('random', 0.7)",1.3793978354854348
2,2,4,"('random', 0.6)",1.3594155921493234
2,2,4,"('rows', 2)",1.3037155681087242
2,2,4,"('rows', 4)",1.2102309745206437
2,2,4,"('rows', 6)",1.3852705745461946
2,2,4,"('cols', 2)",1.2211431429161326
2,2,4,"('cols', 4)",1.322778207663844
2,2,4,"('cols', 6)",1.322805051946344
2,2,5,"('random', 0.9)",1.329893871547466
2,2,5,"('random', 0.8)",1.4009634946623857
2,2,5,"('random', 0.7)",1.382304124833837
2,2,5,"('random', 0.6)",1.3628400023012135
2,2,5,"('rows', 2)",1.3030370108416365
2,2,5,"('rows', 4)",1.2076369802147822
2,2,5,"('rows', 6)",1.3845053822976279
2,2,5,"('cols', 2)",1.2231364562121598
2,2,5,"('cols', 4)",1.3268705981243683
2,2,5,"('cols', 6)",1.3246169195581932
2,2,6,"('random', 0.9)",1.3316692843700944
2,2,6,"('random', 0.8)",1.4021894636967052
2,2,6,"('random', 0.7)",1.3862376538115482
2,2,6,"('random', 0.6)",1.3674246461476427
2,2,6,"('rows', 2)",1.303388763190231
2,2,6,"('rows', 4)",1.2065785743798194
2,2,6,"('rows', 6)",1.3849811583959013
2,2,6,"('cols', 2)",1.2251477815609249
2,2,6,"('cols', 4)",1.330937866196775
2,2,6,"('cols', 6)",1.3268803442200543
2,2,7,"('random', 0.9)",1.333806918707441
2,2,7,"('random', 0.8)",1.4049951098193947
2,2,7,"('random', 0.7)",1.390689724700666
2,2,7,"('random', 0.6)",1.3725731780450616
2,2,7,"('rows', 2)",1.3042328299720252
2,2,7,"('rows', 4)",1.2064048785990302
2,2,7,"('rows', 6)",1.3861971811376488
2,2,7,"('cols', 2)",1.22692040281353
2,2,7,"('cols', 4)",1.3347559445462254
2,2,7,"('cols', 6)",1.3292896329480237
2,2,8,"('random', 0.9)",1.3359548431224615
2,2,8,"('random', 0.8)",1.4092168536959273
2,2,8,"('random', 0.7)",1.3954110459830977
2,2,8,"('random', 0.6)",1.377881582284947
2,2,8,"('rows', 2)",1.3052595813525514
2,2,8,"('rows', 4)",1.206693676412078
2,2,8,"('rows', 6)",1.3878066553450727
2,2,8,"('cols', 2)",1.2283451750088383
2,2,8,"('cols', 4)",1.3382258095810846
2,2,8,"('cols', 6)",1.331655460420607
2,2,9,"('random', 0.9)",1.3380979539159419
2,2,9,"('random', 0.8)",1.4149639439842803
2,2,9,"('random', 0.7)",1.4003733847951036
2,2,9,"('random', 0.6)",1.3830942771320824
2,2,9,"('rows', 2)",1.30630043605483
2,2,9,"('rows', 4)",1.2071777346221748
2,2,9,"('rows', 6)",1.3895736308946145
2,2,9,"('cols', 2)",1.2293937022939965
2,2,9,"('cols', 4)",1.3413199096128103
2,2,9,"('cols', 6)",1.333863808677961
2,2,10,"('random', 0.9)",1.3405493844161454
2,2,10,"('random', 0.8)",1.4225317107344262
2,2,10,"('random', 0.7)",1.4052704514275225
2,2,10,"('random', 0.6)",1.3880796754228115
2,2,10,"('rows', 2)",1.3072716170626981
2,2,10,"('rows', 4)",1.2076931533244577
2,2,10,"('rows', 6)",1.3913411529537685
2,2,10,"('cols', 2)",1.2300803850177793
2,2,10,"('cols', 4)",1.3440482198342985
2,2,10,"('cols', 6)",1.33584846365349
2,5,3,"('random', 0.9)",1.3362754968878774
2,5,3,"('random', 0.8)",1.405484920692652
2,5,3,"('random', 0.7)",1.380925260258844
2,5,3,"('random', 0.6)",1.35976245426033
2,5,3,"('rows', 2)",1.3076857407254676
2,5,3,"('rows', 4)",1.2161420509641914
2,5,3,"('rows', 6)",1.3888753233610798
2,5,3,"('cols', 2)",1.219898076067853
2,5,3,"('cols', 4)",1.3200253645112279
2,5,3,"('cols', 6)",1.321981736186414
2,5,4,"('random', 0.9)",1.3357191622956384
2,5,4,"('random', 0.8)",1.4016924082251718
2,5,4,"('random', 0.7)",1.382756387782611
2,5,4,"('random', 0.6)",1.362201738364691
2,5,4,"('rows', 2)",1.3058153562850594
2,5,4,"('rows', 4)",1.2114769893554158
2,5,4,"('rows', 6)",1.3865053939657057
2,5,4,"('cols', 2)",1.2210977560545904
2,5,4,"('cols', 4)",1.3239956528136625
2,5,4,"('cols', 6)",1.3228605575805814
2,5,5,"('random', 0.9)",1.337720266997971
2,5,5,"('random', 0.8)",1.4007153066151503
2,5,5,"('random', 0.7)",1.3864471141688852
2,5,5,"('random', 0.6)",1.3668900119526572
2,5,5,"('rows', 2)",1.3058976168175238
2,5,5,"('rows', 4)",1.209346371096441
2,5,5,"('rows', 6)",1.3860939281522258
2,5,5,"('cols', 2)",1.222758103245785
2,5,5,"('cols', 4)",1.3283259524046684
2,5,5,"('cols', 6)",1.3246437950088765
2,5,6,"('random', 0.9)",1.3411217071450643
2,5,6,"('random', 0.8)",1.4015689540278773
2,5,6,"('random', 0.7)",1.3911432427178128
2,5,6,"('random', 0.6)",1.3729774970155824
2,5,6,"('rows', 2)",1.3069799680633796
2,5,6,"('rows', 4)",1.2087503198139709
2,5,6,"('rows', 6)",1.3869311066379637
2,5,6,"('cols', 2)",1.2243871907258355
2,5,6,"('cols', 4)",1.332571334087727
2,5,6,"('cols', 6)",1.3268477696279921
2,5,7,"('random', 0.9)",1.3454169459479983
2,5,7,"('random', 0.8)",1.4036898515531533
2,5,7,"('random', 0.7)",1.396344247243294
2,5,7,"('random', 0.6)",1.3798959797857766
2,5,7,"('rows', 2)",1.308481027657142
2,5,7,"('rows', 4)",1.2090297729850992
2,5,7,"('rows', 6)",1.3885233778065746
2,5,7,"('cols', 2)",1.2257385203205242
2,5,7,"('cols', 4)",1.3364984060718157
2,5,7,"('cols', 6)",1.3291686688898279
2,5,8,"('random', 0.9)",1.3506012003727894
2,5,8,"('random', 0.8)",1.4068616953453754
2,5,8,"('random', 0.7)",1.4018319301120725
2,5,8,"('random', 0.6)",1.3873031684115293
2,5,8,"('rows', 2)",1.310057073151205
2,5,8,"('rows', 4)",1.2097623286216852
2,5,8,"('rows', 6)",1.3905333501335022
2,5,8,"('cols', 2)",1.2267037237103817
2,5,8,"('cols', 4)",1.340000968468032
2,5,8,"('cols', 6)",1.3314209334618072
2,5,9,"('random', 0.9)",1.357087289046566
2,5,9,"('random', 0.8)",1.411180062565556
2,5,9,"('random', 0.7)",1.4076406060737359
2,5,9,"('random', 0.6)",1.3950528658302843
2,5,9,"('rows', 2)",1.3115141524990825
2,5,9,"('rows', 4)",1.2106871863387403
2,5,9,"('rows', 6)",1.3927337188214282
2,5,9,"('cols', 2)",1.227250740767101
2,5,9,"('cols', 4)",1.343047198292141
