min_ratings,n_factors,n_epochs,trainset,average_error
1,20,5,"('rows', 6)",1.3858117798927851
1,20,5,"('cols', 2)",1.2243209889940037
1,20,5,"('cols', 4)",1.3238585809690815
1,20,5,"('cols', 6)",1.3245698063623395
1,20,10,"('random', 0.9)",1.4419088768871333
1,20,10,"('random', 0.8)",1.435730231277601
1,20,10,"('random', 0.7)",1.4337880991785212
1,20,10,"('random', 0.6)",1.4318332623654504
1,20,10,"('rows', 2)",1.3015849153838637
1,20,10,"('rows', 4)",1.2070523269235178
1,20,10,"('rows', 6)",1.388212263017576
1,20,10,"('cols', 2)",1.230784779809759
1,20,10,"('cols', 4)",1.3327075791569698
1,20,10,"('cols', 6)",1.3312116917103207
1,20,15,"('random', 0.9)",1.5719543290157791
1,20,15,"('random', 0.8)",1.5162767267428243
1,20,15,"('random', 0.7)",1.4976938989325153
1,20,15,"('random', 0.6)",1.5014382774960666
1,20,15,"('rows', 2)",1.3004210602201451
1,20,15,"('rows', 4)",1.206772999165673
1,20,15,"('rows', 6)",1.3904367911164144
1,20,15,"('cols', 2)",1.2303657509692265
1,20,15,"('cols', 4)",1.3322139314441204
1,20,15,"('cols', 6)",1.331447428000759
1,20,20,"('random', 0.9)",1.6397928858132456
1,20,20,"('random', 0.8)",1.56815742577375
1,20,20,"('random', 0.7)",1.541484346171222
1,20,20,"('random', 0.6)",1.5521719399939997
1,20,20,"('rows', 2)",1.3017484981277196
1,20,20,"('rows', 4)",1.2082789860315855
1,20,20,"('rows', 6)",1.3917310501488378
1,20,20,"('cols', 2)",1.2315957767688268
1,20,20,"('cols', 4)",1.328479002151848
1,20,20,"('cols', 6)",1.3297473933721717
1,20,25,"('random', 0.9)",1.676229322247669
1,20,25,"('random', 0.8)",1.604234281030579
1,20,25,"('random', 0.7)",1.5695310967549971
1,20,25,"('random', 0.6)",1.5873558569598483
1,20,25,"('rows', 2)",1.3044219696572679
1,20,25,"('rows', 4)",1.2110718551387354
1,20,25,"('rows', 6)",1.3930931189252143
1,20,25,"('cols', 2)",1.233988236068578
1,20,25,"('cols', 4)",1.324959267040893
1,20,25,"('cols', 6)",1.3284120154057295
1,20,30,"('random', 0.9)",1.7102479781435518
1,20,30,"('random', 0.8)",1.6364342027041978
1,20,30,"('random', 0.7)",1.5934174342031484
1,20,30,"('random', 0.6)",1.6153345598377793
1,20,30,"('rows', 2)",1.3069031282856225
1,20,30,"('rows', 4)",1.21406234849366
1,20,30,"('rows', 6)",1.394564240929367
1,20,30,"('cols', 2)",1.2361273033488138
1,20,30,"('cols', 4)",1.3226125473182284
1,20,30,"('cols', 6)",1.3277712023213126
1,40,5,"('random', 0.9)",1.3768173322174573
1,40,5,"('random', 0.8)",1.4104616180855236
1,40,5,"('random', 0.7)",1.3868050085421004
1,40,5,"('random', 0.6)",1.3642211976385354
1,40,5,"('rows', 2)",1.3109538579325435
1,40,5,"('rows', 4)",1.2111642690543751
1,40,5,"('rows', 6)",1.3858049856891144
1,40,5,"('cols', 2)",1.2258791688209383
1,40,5,"('cols', 4)",1.3264843164376339
1,40,5,"('cols', 6)",1.3235718174621707
1,40,10,"('random', 0.9)",1.4873185309423895
1,40,10,"('random', 0.8)",1.499725807053867
1,40,10,"('random', 0.7)",1.45910481111659
1,40,10,"('random', 0.6)",1.4216075038996603
1,40,10,"('rows', 2)",1.3134652702916936
1,40,10,"('rows', 4)",1.2082707374714843
1,40,10,"('rows', 6)",1.3875540045618082
1,40,10,"('cols', 2)",1.2306476517809097
1,40,10,"('cols', 4)",1.3378527374814324
1,40,10,"('cols', 6)",1.3270989957349009
1,40,15,"('random', 0.9)",1.538003284237693
1,40,15,"('random', 0.8)",1.5617342267230152
1,40,15,"('random', 0.7)",1.5141678927726583
1,40,15,"('random', 0.6)",1.4738670192632053
1,40,15,"('rows', 2)",1.315967968535677
1,40,15,"('rows', 4)",1.208908585867342
1,40,15,"('rows', 6)",1.3902954122071272
1,40,15,"('cols', 2)",1.231275979736539
1,40,15,"('cols', 4)",1.338983811944237
1,40,15,"('cols', 6)",1.3268453244772296
1,40,20,"('random', 0.9)",1.5727278297926481
1,40,20,"('random', 0.8)",1.6004134852622236
1,40,20,"('random', 0.7)",1.5435086556906732
1,40,20,"('random', 0.6)",1.514273005816646
1,40,20,"('rows', 2)",1.3190835214758836
1,40,20,"('rows', 4)",1.211200797720729
1,40,20,"('rows', 6)",1.3926864499905787
1,40,20,"('cols', 2)",1.2323288566348019
1,40,20,"('cols', 4)",1.337091860120534
1,40,20,"('cols', 6)",1.3262601907854532
1,40,25,"('random', 0.9)",1.615597424392856
1,40,25,"('random', 0.8)",1.626852877495771
1,40,25,"('random', 0.7)",1.5659585603388797
1,40,25,"('random', 0.6)",1.547831509485487
1,40,25,"('rows', 2)",1.3216194257598735
1,40,25,"('rows', 4)",1.2138621963875929
1,40,25,"('rows', 6)",1.3948443553619203
1,40,25,"('cols', 2)",1.2335480914642922
1,40,25,"('cols', 4)",1.3353771375064711
1,40,25,"('cols', 6)",1.3261375993792304
1,40,30,"('random', 0.9)",1.6552716307054383
1,40,30,"('random', 0.8)",1.6439253380853731
1,40,30,"('random', 0.7)",1.588258594161167
1,40,30,"('random', 0.6)",1.5750060214146906
1,40,30,"('rows', 2)",1.3234052984083826
1,40,30,"('rows', 4)",1.2161066654261705
1,40,30,"('rows', 6)",1.3966148193452679
1,40,30,"('cols', 2)",1.2346416695268145
1,40,30,"('cols', 4)",1.334131492071019
1,40,30,"('cols', 6)",1.3263145268995729
5,2,5,"('random', 0.9)",1.329893871547466
5,2,5,"('random', 0.8)",1.4009634946623857
5,2,5,"('random', 0.7)",1.382304124833837
5,2,5,"('random', 0.6)",1.3621107695514922
5,2,5,"('rows', 2)",1.3030370108416365
5,2,5,"('rows', 4)",1.2076369802147822
5,2,5,"('rows', 6)",1.3845053822976279
5,2,5,"('cols', 2)",1.2231364562121598
5,2,5,"('cols', 4)",1.3268705981243683
5,2,5,"('cols', 6)",1.3246169195581932
5,2,10,"('random', 0.9)",1.3405493844161454
5,2,10,"('random', 0.8)",1.4225317107344262
5,2,10,"('random', 0.7)",1.4052704514275225
5,2,10,"('random', 0.6)",1.386874878819203
5,2,10,"('rows', 2)",1.3072716170626981
5,2,10,"('rows', 4)",1.2076931533244577
5,2,10,"('rows', 6)",1.3913411529537685
5,2,10,"('cols', 2)",1.2300803850177793
5,2,10,"('cols', 4)",1.3440482198342985
5,2,10,"('cols', 6)",1.33584846365349
5,2,15,"('random', 0.9)",1.3837505612987056
5,2,15,"('random', 0.8)",1.4638768859425735
5,2,15,"('random', 0.7)",1.4433452561586597
5,2,15,"('random', 0.6)",1.410980862560167
5,2,15,"('rows', 2)",1.310538517938168
5,2,15,"('rows', 4)",1.2087553777080842
5,2,15,"('rows', 6)",1.397849872642275
5,2,15,"('cols', 2)",1.2297350649342302
5,2,15,"('cols', 4)",1.3530482694570711
5,2,15,"('cols', 6)",1.3416756858083458
5,2,20,"('random', 0.9)",1.4718911467999964
5,2,20,"('random', 0.8)",1.5091832475591425
5,2,20,"('random', 0.7)",1.504713482596623
5,2,20,"('random', 0.6)",1.4514131813318498
5,2,20,"('rows', 2)",1.3115789177828883
5,2,20,"('rows', 4)",1.208164441474567
5,2,20,"('rows', 6)",1.4003831869760444
5,2,20,"('cols', 2)",1.2278510370890057
5,2,20,"('cols', 4)",1.35559759824948
5,2,20,"('cols', 6)",1.341885749132959
5,2,25,"('random', 0.9)",1.5121070011499704
5,2,25,"('random', 0.8)",1.5350066476938702
5,2,25,"('random', 0.7)",1.5432779326637514
5,2,25,"('random', 0.6)",1.4908019668990018
5,2,25,"('rows', 2)",1.3121387349983358
5,2,25,"('rows', 4)",1.20806598358134
5,2,25,"('rows', 6)",1.4017038295766826
5,2,25,"('cols', 2)",1.2268491885870094
5,2,25,"('cols', 4)",1.3538646881808658
5,2,25,"('cols', 6)",1.34116173762052
5,2,30,"('random', 0.9)",1.5491663850811357
5,2,30,"('random', 0.8)",1.5521922986733259
5,2,30,"('random', 0.7)",1.5738125959230835
5,2,30,"('random', 0.6)",1.522948980576473
5,2,30,"('rows', 2)",1.3134002518626862
5,2,30,"('rows', 4)",1.2079099515548004
5,2,30,"('rows', 6)",1.4027208469113803
5,2,30,"('cols', 2)",1.2266695066429216
5,2,30,"('cols', 4)",1.3503863850108264
5,2,30,"('cols', 6)",1.3409808606705136
5,5,5,"('random', 0.9)",1.337720266997971
5,5,5,"('random', 0.8)",1.4007153066151503
5,5,5,"('random', 0.7)",1.3864471141688852
5,5,5,"('random', 0.6)",1.3666171343851101
